id,thesis_id,symbol,run_id,sharpe,max_drawdown,cagr,win_rate,oos_sharpe,passed_gate,strategy_params,created_at
18,33,ETH/USD,2026-06-27T07:30:56.031381+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T07:30:56.031911+00:00
19,34,BTC/USD,2026-06-27T10:46:18.882266+00:00,-0.9296574100055078,-0.12987153958829334,-0.15727384215441054,0.33333333333333326,-0.9296574100055078,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T10:46:18.882741+00:00
20,35,ETH/USD,2026-06-27T10:46:19.170437+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T10:46:19.170826+00:00
21,36,BTC/USD,2026-06-27T13:24:51.791075+00:00,-0.9296574100055078,-0.12987153958829334,-0.15727384215441054,0.33333333333333326,-0.9296574100055078,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T13:24:51.791627+00:00
22,37,ETH/USD,2026-06-27T13:24:52.556919+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T13:24:52.557314+00:00
23,38,BTC/USD,2026-06-27T17:24:34.011175+00:00,-0.9296574100055078,-0.12987153958829334,-0.15727384215441054,0.33333333333333326,-0.9296574100055078,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T17:24:34.012278+00:00
24,39,ETH/USD,2026-06-27T17:24:34.295543+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T17:24:34.296032+00:00
25,40,BTC/USD,2026-06-27T17:25:16.996522+00:00,-0.9296574100055078,-0.12987153958829334,-0.15727384215441054,0.33333333333333326,-0.9296574100055078,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T17:25:16.997595+00:00
26,41,ETH/USD,2026-06-27T17:25:17.287825+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T17:25:17.288314+00:00
27,42,BTC/USD,2026-06-27T17:39:41.274778+00:00,-0.9296574100055078,-0.12987153958829334,-0.15727384215441054,0.33333333333333326,-0.9296574100055078,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T17:39:41.276574+00:00
28,43,ETH/USD,2026-06-27T17:39:41.534752+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T17:39:41.535218+00:00
29,44,BTC/USD,2026-06-27T18:01:45.246041+00:00,-0.9296574100055078,-0.12987153958829334,-0.15727384215441054,0.33333333333333326,-0.9296574100055078,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T18:01:45.247027+00:00
30,45,ETH/USD,2026-06-27T18:01:45.560823+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T18:01:45.561292+00:00
31,46,BTC/USD,2026-06-27T18:08:50.276150+00:00,-0.9296574100055078,-0.12987153958829334,-0.15727384215441054,0.33333333333333326,-0.9296574100055078,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T18:08:50.277178+00:00
32,47,ETH/USD,2026-06-27T18:08:50.569432+00:00,-0.521725062794372,-0.19340076458073874,-0.1674638903392156,0.5,-0.521725062794372,0,"{'fast_ema': 10, 'slow_ema': 30, 'rsi_period': 14, 'rsi_oversold': 35, 'rsi_overbought': 70}",2026-06-27T18:08:50.569896+00:00
